algorithm n comparisons time
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0
quick 0 0 0
std 0 0 0
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0
quick 0 0 0
std 0 0 0
bubble 0 0 0
insertion-smart 0 0 0.000000041
insertion-dumb 0 0 0
selection 0 0 0
quick 0 0 0
std 0 0 0
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0.000000041
selection 0 0 0
quick 0 0 0
std 0 0 0
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0.000000041
selection 0 0 0
quick 0 0 0
std 0 0 0
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0.000000041
quick 0 0 0
std 0 0 0.000000041
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0.000000041
quick 0 0 0
std 0 0 0.000000041
bubble 0 0 0.000000041
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0
quick 0 0 0
std 0 0 0.000000041
bubble 0 0 0
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0
quick 0 0 0.000000041
std 0 0 0
bubble 0 0 0.000000041
insertion-smart 0 0 0
insertion-dumb 0 0 0
selection 0 0 0
quick 0 0 0.000000041
std 0 0 0
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0.000000041
selection 1 0 0.000000041
quick 1 0 0
std 1 0 0
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0
quick 1 0 0
std 1 0 0
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0.000000041
quick 1 0 0
std 1 0 0
bubble 1 0 0.000000041
insertion-smart 1 0 0.000000041
insertion-dumb 1 0 0
selection 1 0 0
quick 1 0 0
std 1 0 0
bubble 1 0 0
insertion-smart 1 0 0.000000041
insertion-dumb 1 0 0
selection 1 0 0
quick 1 0 0
std 1 0 0.000000041
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0
quick 1 0 0
std 1 0 0.000000041
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0
quick 1 0 0
std 1 0 0
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0.000000041
quick 1 0 0.000000041
std 1 0 0.000000041
bubble 1 0 0
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0
quick 1 0 0
std 1 0 0.000000041
bubble 1 0 0.000000041
insertion-smart 1 0 0
insertion-dumb 1 0 0
selection 1 0 0.000000041
quick 1 0 0
std 1 0 0
bubble 10 81 0.000000583
insertion-smart 10 24 0.000000458
insertion-dumb 10 33 0.000000208
selection 10 90 0.000000625
quick 10 24 0.00000025
std 10 33 0.000000208
bubble 10 72 0.000000458
insertion-smart 10 21 0.00000025
insertion-dumb 10 28 0.000000166
selection 10 90 0.000000416
quick 10 33 0.00000025
std 10 28 0.000000125
bubble 10 72 0.000000333
insertion-smart 10 22 0.000000291
insertion-dumb 10 31 0.000000125
selection 10 90 0.000000416
quick 10 30 0.000000208
std 10 31 0.000000125
bubble 10 63 0.000000416
insertion-smart 10 23 0.000000291
insertion-dumb 10 33 0.000000125
selection 10 90 0.000000375
quick 10 30 0.000000208
std 10 33 0.000000125
bubble 10 63 0.000000375
insertion-smart 10 20 0.000000291
insertion-dumb 10 29 0.000000125
selection 10 90 0.000000416
quick 10 30 0.000000291
std 10 29 0.000000083
bubble 10 90 0.000000458
insertion-smart 10 23 0.000000291
insertion-dumb 10 32 0.000000166
selection 10 90 0.000000375
quick 10 38 0.00000025
std 10 31 0.000000125
bubble 10 81 0.000000375
insertion-smart 10 22 0.00000025
insertion-dumb 10 29 0.000000083
selection 10 90 0.000000333
quick 10 33 0.00000025
std 10 30 0.000000125
bubble 10 45 0.00000025
insertion-smart 10 22 0.000000166
insertion-dumb 10 26 0.000000125
selection 10 90 0.000000291
quick 10 41 0.000000166
std 10 26 0.000000125
bubble 10 54 0.000000333
insertion-smart 10 22 0.000000208
insertion-dumb 10 27 0.000000125
selection 10 90 0.000000375
quick 10 36 0.000000208
std 10 28 0.000000083
bubble 10 90 0.000000458
insertion-smart 10 23 0.000000291
insertion-dumb 10 34 0.000000125
selection 10 90 0.00000025
quick 10 35 0.000000166
std 10 34 0.000000083
bubble 100 7128 0.000026083
insertion-smart 100 534 0.000008875
insertion-dumb 100 2364 0.000007458
selection 100 9900 0.000029958
quick 100 1055 0.000004333
std 100 644 0.000003791
bubble 100 9108 0.000032
insertion-smart 100 528 0.000006583
insertion-dumb 100 2586 0.000008166
selection 100 9900 0.00003
quick 100 866 0.000003791
std 100 621 0.00000325
bubble 100 9009 0.000032541
insertion-smart 100 529 0.000006375
insertion-dumb 100 2488 0.000007875
selection 100 9900 0.000029958
quick 100 816 0.000003625
std 100 632 0.000002916
bubble 100 9306 0.0000325
insertion-smart 100 529 0.00000625
insertion-dumb 100 2398 0.000007541
selection 100 9900 0.000029958
quick 100 878 0.000003666
std 100 607 0.000002916
bubble 100 8514 0.000031041
insertion-smart 100 536 0.000006333
insertion-dumb 100 2668 0.000008416
selection 100 9900 0.000029958
quick 100 1005 0.000003791
std 100 650 0.000003083
bubble 100 8613 0.00003125
insertion-smart 100 527 0.000006208
insertion-dumb 100 2570 0.000008166
selection 100 9900 0.00003
quick 100 980 0.000003791
std 100 639 0.000002875
bubble 100 9504 0.000034
insertion-smart 100 526 0.000006291
insertion-dumb 100 2791 0.000008791
selection 100 9900 0.000029875
quick 100 989 0.000004041
std 100 638 0.000002916
bubble 100 9702 0.000034666
insertion-smart 100 534 0.000006166
insertion-dumb 100 2484 0.000007708
selection 100 9900 0.000029958
quick 100 1182 0.00000425
std 100 664 0.000002958
bubble 100 9306 0.000033416
insertion-smart 100 531 0.000006166
insertion-dumb 100 2647 0.000008291
selection 100 9900 0.000029875
quick 100 787 0.000003583
std 100 662 0.000002916
bubble 100 9603 0.000035
